subj_group,subj,trial,trial_target,appearance,avg_known,known,length
train,15,10,raccoon,first,0.3902439024390244,FALSE,8
train,15,28,raccoon,second,0.3902439024390244,FALSE,3
train,17,15,raccoon,first,0.3902439024390244,FALSE,4
train,17,19,raccoon,second,0.3902439024390244,FALSE,4
train,18,17,raccoon,first,0.3902439024390244,FALSE,2
train,18,39,raccoon,second,0.3902439024390244,FALSE,8
train,20,18,raccoon,first,0.3902439024390244,FALSE,5
train,20,38,raccoon,second,0.3902439024390244,FALSE,8
test,21,27,raccoon,first,0.3902439024390244,FALSE,11
test,21,35,raccoon,second,0.3902439024390244,FALSE,8
test,23,39,raccoon,second,0.3902439024390244,FALSE,4
test,25,22,raccoon,first,0.3902439024390244,FALSE,5
test,25,30,raccoon,second,0.3902439024390244,FALSE,5
test,27,25,raccoon,first,0.3902439024390244,FALSE,6
test,27,39,raccoon,second,0.3902439024390244,FALSE,27
test,28,19,raccoon,first,0.3902439024390244,FALSE,14
test,28,29,raccoon,second,0.3902439024390244,FALSE,10
test,29,10,raccoon,first,0.3902439024390244,FALSE,2
test,29,34,raccoon,second,0.3902439024390244,FALSE,1
test,31,12,raccoon,first,0.3902439024390244,FALSE,5
test,31,28,raccoon,second,0.3902439024390244,FALSE,3
test,32,19,raccoon,first,0.3902439024390244,FALSE,8
test,32,35,raccoon,second,0.3902439024390244,FALSE,7
test,33,7,raccoon,first,0.3902439024390244,FALSE,8
test,33,21,raccoon,second,0.3902439024390244,FALSE,7
test,35,18,raccoon,first,0.3902439024390244,FALSE,3
test,35,30,raccoon,second,0.3902439024390244,FALSE,3
test,36,6,raccoon,first,0.3902439024390244,FALSE,6
test,36,24,raccoon,second,0.3902439024390244,FALSE,13
test,37,23,raccoon,first,0.3902439024390244,FALSE,19
test,37,35,raccoon,second,0.3902439024390244,FALSE,21
test,41,21,raccoon,first,0.3902439024390244,FALSE,3
test,41,29,raccoon,second,0.3902439024390244,FALSE,4
train,4,12,raccoon,first,0.3902439024390244,TRUE,4
train,4,18,raccoon,second,0.3902439024390244,TRUE,5
train,5,15,raccoon,first,0.3902439024390244,TRUE,11
train,5,21,raccoon,second,0.3902439024390244,TRUE,6
train,7,33,raccoon,first,0.3902439024390244,TRUE,7
train,7,35,raccoon,second,0.3902439024390244,TRUE,11
train,9,6,raccoon,first,0.3902439024390244,TRUE,12
train,9,28,raccoon,second,0.3902439024390244,TRUE,8
train,10,5,raccoon,first,0.3902439024390244,TRUE,4
train,10,9,raccoon,second,0.3902439024390244,TRUE,10
train,11,7,raccoon,first,0.3902439024390244,TRUE,5
train,11,35,raccoon,second,0.3902439024390244,TRUE,7
train,16,5,raccoon,first,0.3902439024390244,TRUE,6
train,16,21,raccoon,second,0.3902439024390244,TRUE,2
train,19,16,raccoon,first,0.3902439024390244,TRUE,4
train,19,20,raccoon,second,0.3902439024390244,TRUE,10
test,22,30,raccoon,first,0.3902439024390244,TRUE,4
test,22,36,raccoon,second,0.3902439024390244,TRUE,5
test,24,7,raccoon,first,0.3902439024390244,TRUE,5
test,24,17,raccoon,second,0.3902439024390244,TRUE,10
test,26,33,raccoon,first,0.3902439024390244,TRUE,3
test,26,35,raccoon,second,0.3902439024390244,TRUE,3
test,30,32,raccoon,first,0.3902439024390244,TRUE,23
test,30,34,raccoon,second,0.3902439024390244,TRUE,15
test,34,6,raccoon,first,0.3902439024390244,TRUE,3
test,34,34,raccoon,second,0.3902439024390244,TRUE,1
test,38,16,raccoon,first,0.3902439024390244,TRUE,9
test,38,20,raccoon,second,0.3902439024390244,TRUE,9
test,39,12,raccoon,first,0.3902439024390244,TRUE,4
test,39,14,raccoon,second,0.3902439024390244,TRUE,3
test,40,19,raccoon,first,0.3902439024390244,TRUE,6
test,40,37,raccoon,second,0.3902439024390244,TRUE,1
train,2,25,rhinoceros,first,0.4634146341463415,FALSE,36
train,2,37,rhinoceros,second,0.4634146341463415,FALSE,12
train,3,13,rhinoceros,first,0.4634146341463415,FALSE,3
train,3,29,rhinoceros,second,0.4634146341463415,FALSE,3
